Age_Ma,LT_reconstructed
-1.494600000000000080e+02,-1.385814758822357362e+02
-1.494399999999999977e+02,-1.384383860871582215e+02
-1.494200000000000159e+02,-1.382938717914649374e+02
-1.494000000000000057e+02,-1.381479290340209616e+02
-1.493800000000000239e+02,-1.380005538536921108e+02
-1.493600000000000136e+02,-1.378517422893434059e+02
-1.493400000000000034e+02,-1.377014903798405498e+02
-1.493200000000000216e+02,-1.375497941640491888e+02
-1.493000000000000114e+02,-1.373966496808343436e+02
-1.492800000000000011e+02,-1.372420529690616604e+02
-1.492600000000000193e+02,-1.370860000675968422e+02
-1.492400000000000091e+02,-1.369284870153048530e+02
-1.492199999999999989e+02,-1.367695098510513958e+02
-1.492000000000000171e+02,-1.366090646137021167e+02
-1.491800000000000068e+02,-1.364471473421220651e+02
-1.491600000000000250e+02,-1.362837540751771144e+02
-1.491400000000000148e+02,-1.361188808517322286e+02
-1.491200000000000045e+02,-1.359525237106531108e+02
-1.491000000000000227e+02,-1.357846786908054639e+02
-1.490800000000000125e+02,-1.356153436447184788e+02
-1.490600000000000023e+02,-1.354445236795787366e+02
-1.490400000000000205e+02,-1.352722257162373296e+02
-1.490200000000000102e+02,-1.350984566755442415e+02
-1.490000000000000000e+02,-1.349232234783504794e+02
-1.489800000000000182e+02,-1.347465330455069648e+02
-1.489600000000000080e+02,-1.345683922978637668e+02
-1.489399999999999977e+02,-1.343888081562718639e+02
-1.489200000000000159e+02,-1.342077875415821495e+02
-1.489000000000000057e+02,-1.340253373746447210e+02
-1.488800000000000239e+02,-1.338414645763108695e+02
-1.488600000000000136e+02,-1.336561760674306356e+02
-1.488400000000000034e+02,-1.334694787688549411e+02
-1.488200000000000216e+02,-1.332813796014347361e+02
-1.488000000000000114e+02,-1.330918854860201748e+02
-1.487800000000000011e+02,-1.329010033434621221e+02
-1.487600000000000193e+02,-1.327087400946115281e+02
-1.487400000000000091e+02,-1.325151026603185471e+02
-1.487199999999999989e+02,-1.323200979614340440e+02
-1.487000000000000171e+02,-1.321237329188089689e+02
-1.486800000000000068e+02,-1.319260144532935044e+02
-1.486600000000000250e+02,-1.317269494857387713e+02
-1.486400000000000148e+02,-1.315265449369948669e+02
-1.486200000000000045e+02,-1.313248077279127983e+02
-1.486000000000000227e+02,-1.311217447793434303e+02
-1.485800000000000125e+02,-1.309173630121369740e+02
-1.485600000000000023e+02,-1.307116693471441806e+02
-1.485400000000000205e+02,-1.305046707052161707e+02
-1.485200000000000102e+02,-1.302963740072029282e+02
-1.485000000000000000e+02,-1.300867861739554598e+02
-1.484800000000000182e+02,-1.298759141263246875e+02
-1.484600000000000080e+02,-1.296637647851606232e+02
-1.484399999999999977e+02,-1.294503450713143309e+02
-1.484200000000000159e+02,-1.292356619056367038e+02
-1.484000000000000057e+02,-1.290197222089777824e+02
-1.483800000000000239e+02,-1.288025329021888865e+02
-1.483600000000000136e+02,-1.285841009061200282e+02
-1.483400000000000034e+02,-1.283644331416221576e+02
-1.483200000000000216e+02,-1.281435365295462816e+02
-1.483000000000000114e+02,-1.279214179907424267e+02
-1.482800000000000011e+02,-1.276980844460615145e+02
-1.482600000000000193e+02,-1.274735428163545521e+02
-1.482400000000000091e+02,-1.272478000224715942e+02
-1.482199999999999989e+02,-1.270208629852635909e+02
-1.482000000000000171e+02,-1.267927386255815350e+02
-1.481800000000000068e+02,-1.265634338642753960e+02
-1.481600000000000250e+02,-1.263329556221965078e+02
-1.481400000000000148e+02,-1.261013108201948967e+02
-1.481200000000000045e+02,-1.258685063791214986e+02
-1.481000000000000227e+02,-1.256345492198273348e+02
-1.480800000000000125e+02,-1.253994462631623890e+02
-1.480600000000000023e+02,-1.251632044299776538e+02
-1.480400000000000205e+02,-1.249258306411241648e+02
-1.480200000000000102e+02,-1.246873318174518346e+02
-1.480000000000000000e+02,-1.244477148798117128e+02
-1.479800000000000182e+02,-1.242069867490547637e+02
-1.479600000000000080e+02,-1.239651543460310137e+02
-1.479399999999999977e+02,-1.237222245915913419e+02
-1.479200000000000159e+02,-1.234782044065868831e+02
-1.479000000000000057e+02,-1.232331007118675785e+02
-1.478800000000000239e+02,-1.229869204282847335e+02
-1.478600000000000136e+02,-1.227396704766883317e+02
-1.478400000000000034e+02,-1.224913577779293803e+02
-1.478200000000000216e+02,-1.222419892528589003e+02
-1.478000000000000114e+02,-1.219915718223267760e+02
-1.477800000000000011e+02,-1.217401124071841281e+02
-1.477600000000000193e+02,-1.214876179282819066e+02
-1.477400000000000091e+02,-1.212340953064700386e+02
-1.477199999999999989e+02,-1.209795514625996020e+02
-1.477000000000000171e+02,-1.207239933175215754e+02
-1.476800000000000068e+02,-1.204674277920858856e+02
-1.476600000000000250e+02,-1.202098618071439091e+02
-1.476400000000000148e+02,-1.199513022835456297e+02
-1.476200000000000045e+02,-1.196917561421420402e+02
-1.476000000000000227e+02,-1.194312303037841474e+02
-1.475800000000000125e+02,-1.191697316893218641e+02
-1.475600000000000023e+02,-1.189072672196062683e+02
-1.475400000000000205e+02,-1.186438438154883670e+02
-1.475200000000000102e+02,-1.183794683978180444e+02
-1.475000000000000000e+02,-1.181141478874463360e+02
-1.474800000000000182e+02,-1.178478978875567122e+02
-1.474600000000000080e+02,-1.175807687306609495e+02
-1.474399999999999977e+02,-1.173128194316044812e+02
-1.474200000000000159e+02,-1.170441090052326274e+02
-1.474000000000000057e+02,-1.167746964663896421e+02
-1.473800000000000239e+02,-1.165046408299212573e+02
-1.473600000000000136e+02,-1.162340011106716702e+02
-1.473400000000000034e+02,-1.159628363234863286e+02
-1.473200000000000216e+02,-1.156912054832105099e+02
-1.473000000000000114e+02,-1.154191676046884822e+02
-1.472800000000000011e+02,-1.151467817027656082e+02
-1.472600000000000193e+02,-1.148741067922872787e+02
-1.472400000000000091e+02,-1.146012018880976626e+02
-1.472199999999999989e+02,-1.143281260050421793e+02
-1.472000000000000171e+02,-1.140549381579661770e+02
-1.471800000000000068e+02,-1.137816973617138814e+02
-1.471600000000000250e+02,-1.135084626311310387e+02
-1.471400000000000148e+02,-1.132352929810618463e+02
-1.471200000000000045e+02,-1.129622474263517518e+02
-1.471000000000000227e+02,-1.126893849818460325e+02
-1.470800000000000125e+02,-1.124167646623889567e+02
-1.470600000000000023e+02,-1.121444454828259012e+02
-1.470400000000000205e+02,-1.118724864580022285e+02
-1.470200000000000102e+02,-1.116009466027621357e+02
-1.470000000000000000e+02,-1.113298849319510140e+02
-1.469800000000000182e+02,-1.110593604604142115e+02
-1.469600000000000080e+02,-1.107894322029959540e+02
-1.469399999999999977e+02,-1.105201591745416749e+02
-1.469200000000000159e+02,-1.102516003898966233e+02
-1.469000000000000057e+02,-1.099838148639051525e+02
-1.468800000000000239e+02,-1.097168616114129378e+02
-1.468600000000000136e+02,-1.094507996472641764e+02
-1.468400000000000034e+02,-1.091856879863043019e+02
-1.468200000000000216e+02,-1.089215856433786200e+02
-1.468000000000000114e+02,-1.086585516333314132e+02
-1.467800000000000011e+02,-1.083966449710080440e+02
-1.467600000000000193e+02,-1.081359246712538322e+02
-1.467400000000000091e+02,-1.078764497489130036e+02
-1.467199999999999989e+02,-1.076182792188310060e+02
-1.467000000000000171e+02,-1.073614720958531024e+02
-1.466800000000000068e+02,-1.071060873948236178e+02
-1.466600000000000250e+02,-1.068521841305882134e+02
-1.466400000000000148e+02,-1.065998213179912000e+02
-1.466200000000000045e+02,-1.063490579718778406e+02
